STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
199,ꪮ꪿ꪱꪙ,1,,,p.,1,hàng,,ꪝꪾꪚ ꪎꪳ ꪮ꪿ꪱꪙ ꪀꪮꪉ: sách vở hàng đống,
200,ꪮ꪿ꪱꪙ,1,,,p.,2,những,,ꪼꪜ ꪮ꪿ꪱꪙ ꪭ꫁ꪮꪥ ꫛ: đi những trăm người,
201,ꪮ꪿ꪱꪙ,1,,,p.,3,vô kể,,ꫛ ꪮ꪿ꪱꪙ ꪨꪱꪥ: người nhiều vô kể,
202,ꪮ꪿ꪱꪙ,1,,,p.,4,kể,,ꪮ꪿ꪱꪙ ꪣꪳ꫁ ꪮ꪿ꪱꪙ ꪁꪳꪙ: cả ngày cả đêm,
203,ꪮ꪿ꪱꪙ,1,,,p.,5,ròng,,ꪮ꪿ꪱꪙ ꪜꪲ ꫜ: một năm ròng,
204,ꪮ꪿ꪱꪙ,2,,,đg.,1,đếm,,: ,
205,ꪮ꪿ꪱꪙ,3,,,đg.,1,đọc,vh,ꪮ꪿ꪱꪙ ꪎꪳ: đọc thư,
206,ꪮ꪿ꪱꪙ ꪈꪽ,1,,,đg.,1,"cách trở, cách bức",vh,ꪝꪴ ꪹꪚꪸ꫁ ꪮ꪿ꪱꪙ ꪈꪽ: núi sông cách trở,
207,ꪮ꪿ꪱꪙ ꪑꪱ,1,,,d.,1,"tri châu, tri huyện",,: ,
208,ꪮ꪿ꪱꪙ ꪑꪱ,1,,,d.,2,chúa đất tham chính,vùng Thái,: ,
209,ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ,1,,,đg.,1,kết tội,,ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ ꪵꪠꪙ ꪹꪀꪚ: kể tội bọn cướp,
210,ꪮ꪿ꪱꪙ ꪶꪎꪥ,1,,,đg.,1,,,: ,
211,ꪮ꫁ꪱꪉ,1,,,đg.,1,khoe,,ꪜꪱꪀ ꪮ꫁ꪱꪉ: nói khoe,
212,ꪮ꫁ꪱꪉ ꪈꪲꪒ,1,,,đg.,1,kiêu kì,,ꪮꪱ ꪙꪱꪉ ꪮ꫁ꪱꪉ ꪈꪲꪒ: cô nàng kiêu kì,
213,ꪮ꫁ꪱꪉ ꪻꪐ꪿,1,,,đg.,1,phô trương,,ꪜꪱꪀ ꪹꪫ꫁ꪱ ꪮ꫁ꪱꪉ ꪻꪐ꪿: ăn nói phô trương,
214,ꪵꪮ꪿ꪉ,1,,,đg.,1,,,: ,
215,ꪵꪮ꪿ꪉ ꪵꪮ,1,,,t.,1,nhởn nhơ,,ꪵꪮ꪿ꪉ ꪵꪮ꫁ ꪼꪜ ꪮꪲ꫁ꪙ: nhởn nhơ đi chơi,
